,year,month,day,hour,minute,second,lat,lon,depth_km,mag
115,1970,6,1,6,5,44,-9.2769,-77.61,35000.0,5.19
116,1970,6,1,6,11,55,-9.039,-77.1783,35000.0,4.78
117,1970,6,1,6,19,23,-9.5699,-78.836,53000.0,5.0
118,1970,6,1,9,45,34,-10.4173,-78.9414,50000.0,4.85
119,1970,6,1,16,37,12,-9.4597,-78.5424,53000.0,4.6
120,1970,6,1,17,44,17,5.8426,-82.6622,13590.6,5.505
121,1970,6,1,17,59,28,-10.0646,-78.7717,53396.8,5.35
122,1970,6,1,19,15,8,-9.648,-78.8286,59583.8,5.18
123,1970,6,2,0,5,31,-28.7774,-67.3181,129000.0,4.34
124,1970,6,2,1,37,24,-9.7885,-78.797,57926.7,5.65
125,1970,6,2,1,53,28,-10.8414,-79.0116,24000.0,4.66
126,1970,6,2,3,39,27,-10.0858,-78.9692,47668.5,4.89
127,1970,6,2,4,39,55,-10.3378,-78.671,60640.5,4.9
128,1970,6,2,10,35,45,-10.2658,-78.7665,41777.4,5.05
129,1970,6,2,18,2,40,-10.2681,-78.6993,50039.5,5.3
130,1970,6,2,18,52,17,-10.4201,-78.8901,30363.7,4.95
131,1970,6,3,2,2,21,-10.3254,-78.8205,70242.0,4.92
132,1970,6,3,11,9,18,-9.9475,-78.9005,52000.0,4.98
133,1970,6,4,2,28,51,-8.9524,-75.4126,120000.0,4.74
134,1970,6,4,2,41,23,-10.0064,-78.3241,32832.2,4.74
135,1970,6,4,4,9,26,-9.8512,-78.5686,47486.5,5.995
136,1970,6,4,16,48,24,-9.8376,-78.9329,48722.9,5.18
137,1970,6,4,22,59,52,-9.5302,-79.3621,44085.1,5.22
138,1970,6,5,5,56,39,-10.014,-78.746,61025.1,5.0
139,1970,6,5,6,57,28,-31.7501,-67.2386,127221.8,4.93
140,1970,6,5,10,13,2,-5.727,-77.2704,26000.0,5.16
141,1970,6,7,9,0,3,-9.8715,-79.0416,52000.0,4.8
142,1970,6,7,11,36,6,-9.8346,-78.8495,45456.1,4.89
143,1970,6,7,18,58,22,-8.3857,-78.0563,35000.0,4.9
144,1970,6,7,20,49,45,-10.2157,-78.5155,100000.0,4.56
145,1970,6,8,11,31,9,-9.7496,-78.6883,53000.0,4.8
146,1970,6,8,16,43,28,6.836,-73.0551,166000.0,4.6
147,1970,6,11,6,2,56,-24.5001,-68.4191,113381.9,6.28
148,1970,6,11,7,30,51,-10.2952,-78.8262,44995.2,5.35
149,1970,6,12,1,38,27,-10.1288,-78.8198,55000.0,5.0
150,1970,6,14,8,36,25,6.7333,-72.9789,166000.0,4.67
151,1970,6,14,9,38,2,-19.2511,-69.2256,114852.0,5.01
152,1970,6,15,0,42,53,-9.7645,-78.7945,60454.4,5.4
153,1970,6,15,11,32,31,-9.8265,-78.0519,10000.0,4.72
154,1970,6,16,5,10,35,5.2543,-82.6633,18717.3,5.51
155,1970,6,17,4,44,23,-16.0527,-71.779,105801.4,5.87
156,1970,6,19,10,56,15,-22.2563,-70.3143,49734.1,6.085
157,1970,6,21,13,4,41,-30.6404,-71.8,26941.9,4.81
158,1970,6,21,15,13,39,-9.9559,-78.7016,59123.6,5.4
159,1970,6,22,1,52,13,6.8458,-73.1148,166000.0,4.58
160,1970,6,22,2,11,50,-1.6052,-80.5174,11000.0,4.68
161,1970,6,23,20,6,58,-19.3987,-69.1647,112278.8,5.3
162,1970,6,24,1,43,40,-8.738,-74.8813,120000.0,4.62
163,1970,6,24,10,15,16,-18.5491,-63.2783,60000.0,4.7
164,1970,6,24,21,40,55,-18.3662,-63.3163,24000.0,4.9
165,1970,6,25,2,53,50,-24.3063,-67.367,181000.0,4.48
166,1970,6,25,4,11,5,-21.6184,-68.617,118000.0,4.45
167,1970,6,26,1,55,57,-20.7207,-69.4407,118212.9,4.84
168,1970,6,27,5,59,51,-10.3643,-79.3596,35000.0,4.7
169,1970,6,27,9,45,29,-9.945,-78.6301,64904.7,5.6
170,1970,6,27,21,6,12,-23.6009,-68.0966,120367.8,5.02
171,1970,6,29,3,2,28,-11.4734,-79.5224,35000.0,4.8
172,1970,6,30,6,21,4,-9.2249,-79.1114,46220.3,5.52
173,1970,6,30,7,4,36,-21.8311,-68.8486,115000.0,4.47
174,1970,7,2,0,45,3,-10.142,-78.4859,54856.1,5.765
175,1970,7,2,12,47,8,-10.1509,-78.7344,57186.1,5.17
176,1970,7,3,15,8,13,-9.8285,-78.9484,10000.0,4.98
177,1970,7,5,6,55,47,-8.8675,-74.3903,148259.8,5.31
178,1970,7,5,7,16,45,-44.3173,-76.631,35000.0,4.76
179,1970,7,6,5,44,25,4.0329,-78.3801,35000.0,4.58
180,1970,7,6,6,35,5,-10.1844,-78.7152,58183.9,4.9
181,1970,7,6,12,50,51,-10.6589,-79.0418,10000.0,4.58
182,1970,7,7,4,56,15,-44.4183,-82.1733,14577.9,5.04
183,1970,7,7,6,3,46,-7.8188,-74.3208,150539.6,4.72
184,1970,7,8,23,31,6,-9.8252,-78.6813,53000.0,4.88
185,1970,7,9,3,8,52,-30.661,-71.4588,50000.0,4.5
186,1970,7,10,7,53,23,-9.8479,-80.0692,22000.0,4.61
187,1970,7,10,8,45,35,-9.06,-78.9605,64000.0,4.65
